180.00	0.0180793
179.00	0.019167
178.00	0.0202669
177.00	0.0213793
176.00	0.0225043
175.00	0.0236422
174.00	0.0248514
173.00	0.0261296
172.00	0.0274853
171.00	0.0283317
170.00	0.0234506
169.00	0.0233813
168.00	0.0231828
167.00	0.0245081
166.00	0.0252573
165.00	0.0257062
164.00	0.0264768
163.00	0.0271137
162.00	0.0275946
161.00	0.0279021
160.00	0.0286136
159.00	0.029239
158.00	0.0296124
157.00	0.029836
156.00	0.0300979
155.00	0.0308292
154.00	0.0315451
153.00	0.0322366
152.00	0.0324735
151.00	0.0326711
150.00	0.032974
149.00	0.0333814
148.00	0.0338841
147.00	0.0342552
146.00	0.0347396
145.00	0.0352646
144.00	0.0357838
143.00	0.0362943
142.00	0.0367422
141.00	0.0367984
140.00	0.0368626
139.00	0.0368601
138.00	0.0367641
137.00	0.0365906
136.00	0.0360867
135.00	0.0355514
134.00	0.0354701
133.00	0.0354267
132.00	0.0354296
131.00	0.0351374
130.00	0.0349772
129.00	0.0352478
128.00	0.0357852
127.00	0.0368474
126.00	0.0385204
125.00	0.0412174
124.00	0.0446839
123.00	0.0491959
122.00	0.0537407
121.00	0.0569766
120.00	0.0590276
119.00	0.0605337
118.00	0.0609254
117.00	0.0618336
116.00	0.0623504
115.00	0.0627634
114.00	0.0629451
113.00	0.0620735
112.00	0.0621451
111.00	0.0627872
110.00	0.0635636
109.00	0.064665
108.00	0.0659839
107.00	0.0671275
106.00	0.0669387
105.00	0.0667451
104.00	0.0676222
103.00	0.0686133
102.00	0.0694409
101.00	0.0702111
100.00	0.0706177
99.00	0.0715569
98.00	0.0728658
97.00	0.0747854
96.00	0.0780019
95.00	0.0821645
94.00	0.0871871
93.00	0.091667
92.00	0.0951857
91.00	0.097935
90.00	0.099873
89.00	0.101647
88.00	0.103554
87.00	0.104818
86.00	0.107112
85.00	0.108705
84.00	0.110453
83.00	0.110667
82.00	0.110747
81.00	0.109373
80.00	0.107488
79.00	0.107918
78.00	0.108421
77.00	0.110295
76.00	0.112057
75.00	0.112982
74.00	0.115094
73.00	0.117955
72.00	0.122143
71.00	0.127153
70.00	0.131477
69.00	0.135164
68.00	0.138058
67.00	0.143423
66.00	0.148661
65.00	0.153521
64.00	0.157185
63.00	0.162006
62.00	0.167148
61.00	0.172173
60.00	0.17484
59.00	0.175114
58.00	0.175831
57.00	0.178909
56.00	0.183714
55.00	0.187314
54.00	0.190875
53.00	0.193886
52.00	0.197102
51.00	0.204389
50.00	0.210973
49.00	0.212963
48.00	0.22001
47.00	0.228112
46.00	0.231871
45.00	0.235577
44.00	0.242413
43.00	0.114199
42.00	0.037877
41.00	0.048482
40.00	0.0922265
39.00	0.114722
38.00	0.120061
37.00	0.130109
36.00	0.138639
35.00	0.14334
34.00	0.144397
33.00	0.148398
32.00	0.153271
31.00	0.161379
30.00	0.147243
29.00	0.167396
28.00	0.173861
27.00	0.178068
26.00	0.179896
25.00	0.181289
24.00	0.182247
23.00	0.177217
22.00	0.188773
21.00	0.18502
20.00	0.191147
19.00	0.288014
18.00	0.276396
17.00	0.287933
16.00	0.323597
15.00	0.32748
14.00	0.324246
13.00	0.329143
12.00	0.33559
11.00	0.318172
10.00	0.298363
9.00	0.275778
8.00	0.256678
7.00	0.217922
6.00	0.199842
5.00	0.163034
4.00	0.12298
3.00	0.0804513
2.00	0.144315
1.00	0.108839
