206.44	0.939161
198.62	0.939161
198.42	0.962463
198.21	0.977737
198.01	0.977914
197.60	0.977734
197.18	0.977914
196.77	0.977737
196.36	0.97792
195.95	0.977734
195.75	0.977917
195.33	0.977734
194.92	0.977914
194.51	0.977737
194.10	0.977917
193.69	0.977737
193.28	0.97792
192.87	0.977734
192.66	0.977917
192.25	0.977734
191.84	0.97792
191.43	0.977734
191.02	0.977917
190.60	0.977734
190.19	0.977914
189.78	0.977737
189.58	0.977914
189.17	0.977737
188.75	0.977917
188.34	0.977734
187.93	0.97792
187.52	0.977734
187.11	0.97792
186.70	0.977734
186.29	0.977914
185.88	0.977737
185.67	0.977917
185.26	0.977731
184.85	0.977917
184.44	0.977734
184.03	0.977917
183.61	0.977731
183.20	0.977915
183.00	0.977723
182.79	0.977823
182.38	0.977817
181.97	0.97772
181.56	0.977817
181.35	0.977723
181.15	0.977829
180.94	0.977717
180.53	0.97782
180.32	0.97772
179.91	0.977823
179.71	0.977717
179.30	0.977817
178.68	0.97772
178.27	0.97782
178.06	0.97772
177.65	0.977823
177.45	0.97772
177.24	0.97782
177.03	0.97772
176.62	0.977823
176.42	0.977717
176.01	0.97782
175.80	0.97772
175.39	0.977817
159.35	0.977785
159.15	0.97722
158.94	0.973654
158.53	0.973777
158.32	0.97857
157.91	0.978641
157.71	0.97904
157.50	0.978141
157.30	0.976924
157.09	0.977094
156.88	0.979888
156.68	0.979672
156.47	0.974931
156.27	0.974381
156.06	0.975545
155.86	0.978199
155.65	0.977203
155.45	0.973145
155.24	0.970596
155.03	0.971079
154.83	0.974267
154.62	0.975999
154.42	0.974496
154.21	0.978027
154.01	0.977445
153.80	0.977745
153.60	0.969822
153.39	0.967496
153.18	0.965766
152.98	0.966657
152.77	0.969722
152.57	0.974599
152.36	0.971051
152.16	0.969288
151.95	0.966335
151.74	0.96698
151.54	0.962844
151.33	0.963735
151.13	0.960412
150.92	0.960476
150.72	0.960054
150.51	0.962105
150.31	0.963909
150.10	0.963533
149.89	0.967985
149.69	0.967863
149.48	0.96825
149.28	0.962157
149.07	0.962493
148.87	0.961975
148.66	0.964821
148.45	0.96615
148.25	0.963027
148.04	0.965186
147.63	0.97409
147.43	0.974319
147.22	0.975725
147.02	0.974974
146.81	0.969747
146.60	0.963488
146.40	0.964393
145.99	0.97046
